Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Roseola,10,"high fever, rash, sore throat, cough, loss of appetite, abdominal pain, body aches, chills, feverish",high fever rash sore throat cough loss appetite abdominal pain body ache chill feverish,9
Roseola,10,"high fever, fatigue, sore throat, red eyes, loss of appetite, body aches, feverish",high fever fatigue sore throat red eye loss appetite body ache feverish,7
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, abdominal pain, dehydration, rashes, general discomfort, irritability",vomiting stomach cramp low-grade fever abdominal pain dehydration rash general discomfort irritability,8
Norovirus Infection,8,"vomiting, low-grade fever, headache, fatigue, sweating, body aches, general discomfort, fever",vomiting low-grade fever headache fatigue sweating body ache general discomfort fever,8
Roseola,10,"high fever, irritability, fatigue, red eyes, diarrhea, loss of appetite, abdominal pain, body aches, feverish",high fever irritability fatigue red eye diarrhea loss appetite abdominal pain body ache feverish,9
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, headache, loss of appetite, dehydration, rashes, fever",diarrhea stomach cramp low-grade fever muscle ache nausea headache loss appetite dehydration rash fever,10
Mumps,7,"headache, swollen painful salivary glands, pain while chewing or swallowing, fever, muscle aches, loss of appetite, testicle pain and tenderness, tiredness",headache swollen painful salivary gland pain chewing swallowing fever muscle ache loss appetite testicle pain tenderness tiredness,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, headache, dehydration, loss of appetite, chills, joint pain",abdominal pain cramp diarrhea nausea vomiting bloody stool headache dehydration loss appetite chill joint pain,10
Roseola,10,"rash, irritability, fatigue, swollen lymph nodes, headache, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, rashes, feverish",rash irritability fatigue swollen lymph node headache red eye diarrhea vomiting loss appetite abdominal pain rash feverish,12
Roseola,10,"runny nose, rash, fatigue, sore throat, headache, cough, vomiting, body aches",runny nose rash fatigue sore throat headache cough vomiting body ache,8
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, stomach cramps, headache, dehydration, body aches, rashes, general discomfort, joint pain",diarrhea nausea stomach cramp headache dehydration body ache rash general discomfort joint pain,9
Roseola,10,"high fever, swollen lymph nodes, headache, red eyes, vomiting, loss of appetite, abdominal pain, body aches, rashes, chills",high fever swollen lymph node headache red eye vomiting loss appetite abdominal pain body ache rash chill,10
Shigellosis (Bacillary Dysentery),13,"bloody stools, stomach cramps, headache, fatigue, muscle aches, body aches, feverish, general discomfort",bloody stool stomach cramp headache fatigue muscle ache body ache feverish general discomfort,8
Roseola,10,"irritability, swollen lymph nodes, sore throat, headache, cough, diarrhea, chills, feverish",irritability swollen lymph node sore throat headache cough diarrhea chill feverish,8
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, nausea, fatigue, loss of appetite, dehydration, rashes, general discomfort",diarrhea stomach cramp muscle ache nausea fatigue loss appetite dehydration rash general discomfort,9
Shigellosis (Bacillary Dysentery),13,"fever, stomach cramps, fatigue, dehydration, general discomfort, joint pain",fever stomach cramp fatigue dehydration general discomfort joint pain,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, bloody stools, headache, fatigue, dehydration, muscle aches, feverish, rashes, general discomfort, chills, joint pain",fever abdominal pain cramp bloody stool headache fatigue dehydration muscle ache feverish rash general discomfort chill joint pain,12
Roseola,10,"rash, irritability, cough, vomiting, loss of appetite, abdominal pain, body aches",rash irritability cough vomiting loss appetite abdominal pain body ache,7
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, nausea, abdominal pain, loss of appetite, dehydration, general discomfort, irritability",vomiting stomach cramp low-grade fever nausea abdominal pain loss appetite dehydration general discomfort irritability,9
Roseola,10,"rash, irritability, swollen lymph nodes, cough, red eyes, vomiting, loss of appetite, body aches, rashes, chills, feverish",rash irritability swollen lymph node cough red eye vomiting loss appetite body ache rash chill feverish,11
Roseola,10,"fatigue, swollen lymph nodes, sore throat, headache, cough, red eyes, loss of appetite, abdominal pain, body aches, rashes, feverish",fatigue swollen lymph node sore throat headache cough red eye loss appetite abdominal pain body ache rash feverish,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, loss of appetite, dehydration, sweating, rashes",diarrhea vomiting stomach cramp low-grade fever muscle ache loss appetite dehydration sweating rash,9
Roseola,10,"rash, irritability, cough, diarrhea, loss of appetite, abdominal pain, feverish",rash irritability cough diarrhea loss appetite abdominal pain feverish,7
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, bloody stools, dehydration, loss of appetite, muscle aches, rashes, chills",fever abdominal pain cramp diarrhea nausea bloody stool dehydration loss appetite muscle ache rash chill,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, bloody stools, stomach cramps, headache, fatigue, dehydration, muscle aches, body aches, feverish, rashes, general discomfort, chills",fever abdominal pain cramp nausea bloody stool stomach cramp headache fatigue dehydration muscle ache body ache feverish rash general discomfort chill,14
Norovirus Infection,8,"muscle aches, nausea, fatigue, abdominal pain, loss of appetite, dehydration, chills, rashes, general discomfort",muscle ache nausea fatigue abdominal pain loss appetite dehydration chill rash general discomfort,9
Roseola,10,"high fever, runny nose, rash, irritability, fatigue, swollen lymph nodes, sore throat, cough, loss of appetite, abdominal pain, body aches, rashes, feverish",high fever runny nose rash irritability fatigue swollen lymph node sore throat cough loss appetite abdominal pain body ache rash feverish,13
Roseola,10,"high fever, rash, irritability, swollen lymph nodes, headache, cough, red eyes, body aches, rashes",high fever rash irritability swollen lymph node headache cough red eye body ache rash,9
Roseola,10,"high fever, rash, swollen lymph nodes, headache, cough, red eyes, abdominal pain, feverish",high fever rash swollen lymph node headache cough red eye abdominal pain feverish,8
Roseola,10,"high fever, runny nose, rash, swollen lymph nodes, sore throat, headache, diarrhea, vomiting, loss of appetite, abdominal pain, feverish",high fever runny nose rash swollen lymph node sore throat headache diarrhea vomiting loss appetite abdominal pain feverish,11
Shigellosis (Bacillary Dysentery),13,"fever, headache, fatigue, muscle aches, body aches, feverish, rashes",fever headache fatigue muscle ache body ache feverish rash,7
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, loss of appetite, sweating, rashes, general discomfort, fever",vomiting stomach cramp low-grade fever muscle ache nausea loss appetite sweating rash general discomfort fever,10
Roseola,10,"runny nose, rash, irritability, swollen lymph nodes, cough, vomiting, loss of appetite, chills",runny nose rash irritability swollen lymph node cough vomiting loss appetite chill,8
Norovirus Infection,8,"headache, loss of appetite, dehydration, body aches, general discomfort, fever, irritability",headache loss appetite dehydration body ache general discomfort fever irritability,7
Roseola,10,"high fever, rash, irritability, sore throat, headache, red eyes, diarrhea, vomiting, abdominal pain, chills",high fever rash irritability sore throat headache red eye diarrhea vomiting abdominal pain chill,10
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, headache, loss of appetite",diarrhea stomach cramp low-grade fever muscle ache nausea headache loss appetite,7
Norovirus Infection,8,"stomach cramps, nausea, fatigue, dehydration, chills, sweating, body aches, rashes, irritability",stomach cramp nausea fatigue dehydration chill sweating body ache rash irritability,9
Norovirus Infection,8,"vomiting, low-grade fever, fatigue, abdominal pain, chills, sweating, general discomfort",vomiting low-grade fever fatigue abdominal pain chill sweating general discomfort,7
Norovirus Infection,8,"diarrhea, abdominal pain, chills, sweating, rashes, general discomfort, irritability",diarrhea abdominal pain chill sweating rash general discomfort irritability,7
Roseola,10,"rash, irritability, fatigue, swollen lymph nodes, red eyes, diarrhea, vomiting, chills",rash irritability fatigue swollen lymph node red eye diarrhea vomiting chill,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, vomiting, fatigue, loss of appetite, body aches, general discomfort",abdominal pain cramp diarrhea nausea vomiting fatigue loss appetite body ache general discomfort,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, vomiting, bloody stools, stomach cramps, fatigue, dehydration, loss of appetite, body aches, feverish, rashes, general discomfort, joint pain",fever abdominal pain cramp nausea vomiting bloody stool stomach cramp fatigue dehydration loss appetite body ache feverish rash general discomfort joint pain,14
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, stomach cramps, headache, fatigue, dehydration, loss of appetite, body aches, feverish, general discomfort, chills",abdominal pain cramp nausea vomiting stomach cramp headache fatigue dehydration loss appetite body ache feverish general discomfort chill,12
Roseola,10,"runny nose, rash, irritability, sore throat, cough, loss of appetite, abdominal pain, body aches, chills",runny nose rash irritability sore throat cough loss appetite abdominal pain body ache chill,9
Norovirus Infection,8,"diarrhea, vomiting, headache, abdominal pain, sweating, body aches, general discomfort, fever",diarrhea vomiting headache abdominal pain sweating body ache general discomfort fever,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, headache, fatigue, dehydration, loss of appetite, muscle aches, body aches, feverish, general discomfort, joint pain",abdominal pain cramp diarrhea headache fatigue dehydration loss appetite muscle ache body ache feverish general discomfort joint pain,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, nausea, headache, fatigue, abdominal pain, chills, sweating, body aches, rashes, general discomfort, fever",diarrhea vomiting stomach cramp low-grade fever nausea headache fatigue abdominal pain chill sweating body ache rash general discomfort fever,14
Shigellosis (Bacillary Dysentery),13,"nausea, bloody stools, stomach cramps, fatigue, loss of appetite, feverish, chills, joint pain",nausea bloody stool stomach cramp fatigue loss appetite feverish chill joint pain,8
Mumps,7,"swollen painful salivary glands, muscle aches, tiredness, loss of appetite, headache",swollen painful salivary gland muscle ache tiredness loss appetite headache,5
Norovirus Infection,8,"stomach cramps, nausea, fatigue, abdominal pain, loss of appetite, dehydration, chills, body aches, rashes, fever, irritability",stomach cramp nausea fatigue abdominal pain loss appetite dehydration chill body ache rash fever irritability,11
Roseola,10,"runny nose, rash, irritability, fatigue, headache, cough, diarrhea, vomiting, loss of appetite, abdominal pain, rashes, feverish",runny nose rash irritability fatigue headache cough diarrhea vomiting loss appetite abdominal pain rash feverish,12
Roseola,10,"rash, irritability, swollen lymph nodes, sore throat, headache, cough, red eyes",rash irritability swollen lymph node sore throat headache cough red eye,7
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, bloody stools, stomach cramps, headache, dehydration, loss of appetite, muscle aches, body aches, feverish, rashes, general discomfort, chills",fever abdominal pain cramp bloody stool stomach cramp headache dehydration loss appetite muscle ache body ache feverish rash general discomfort chill,13
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, bloody stools, fatigue, dehydration, loss of appetite, muscle aches, body aches, feverish, rashes, joint pain",fever nausea vomiting bloody stool fatigue dehydration loss appetite muscle ache body ache feverish rash joint pain,12
Norovirus Infection,8,"stomach cramps, muscle aches, abdominal pain, loss of appetite, chills, body aches, rashes, general discomfort, fever",stomach cramp muscle ache abdominal pain loss appetite chill body ache rash general discomfort fever,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, loss of appetite, chills, rashes, fever, irritability",diarrhea vomiting stomach cramp low-grade fever muscle ache nausea headache fatigue abdominal pain loss appetite chill rash fever irritability,14
Norovirus Infection,8,"vomiting, low-grade fever, headache, fatigue, loss of appetite, chills, body aches, general discomfort, fever, irritability",vomiting low-grade fever headache fatigue loss appetite chill body ache general discomfort fever irritability,10
Shigellosis (Bacillary Dysentery),13,"nausea, bloody stools, loss of appetite, body aches, feverish, chills",nausea bloody stool loss appetite body ache feverish chill,6
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, headache, fatigue, loss of appetite, muscle aches, body aches, feverish, rashes, general discomfort, chills, joint pain",fever diarrhea nausea headache fatigue loss appetite muscle ache body ache feverish rash general discomfort chill joint pain,13
Roseola,10,"irritability, fatigue, sore throat, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain",irritability fatigue sore throat red eye diarrhea vomiting loss appetite abdominal pain,8
Norovirus Infection,8,"low-grade fever, abdominal pain, loss of appetite, dehydration, chills, rashes, fever, irritability",low-grade fever abdominal pain loss appetite dehydration chill rash fever irritability,8
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, nausea, headache, dehydration, sweating, rashes, general discomfort, irritability",diarrhea stomach cramp muscle ache nausea headache dehydration sweating rash general discomfort irritability,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, fatigue, loss of appetite, muscle aches, general discomfort, chills",abdominal pain cramp diarrhea nausea fatigue loss appetite muscle ache general discomfort chill,8
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, headache, fatigue, loss of appetite, body aches, rashes, general discomfort, chills, joint pain",fever nausea vomiting headache fatigue loss appetite body ache rash general discomfort chill joint pain,11
Roseola,10,"high fever, rash, swollen lymph nodes, sore throat, headache, loss of appetite, abdominal pain, rashes, chills, feverish",high fever rash swollen lymph node sore throat headache loss appetite abdominal pain rash chill feverish,10
Roseola,10,"rash, irritability, fatigue, swollen lymph nodes, sore throat, cough, red eyes, diarrhea, loss of appetite, body aches, chills, feverish",rash irritability fatigue swollen lymph node sore throat cough red eye diarrhea loss appetite body ache chill feverish,12
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, abdominal pain, loss of appetite, chills, body aches, general discomfort, irritability",diarrhea vomiting stomach cramp muscle ache abdominal pain loss appetite chill body ache general discomfort irritability,10
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, loss of appetite, dehydration, chills, sweating, body aches, irritability",diarrhea vomiting stomach cramp low-grade fever muscle ache loss appetite dehydration chill sweating body ache irritability,11
Roseola,10,"high fever, irritability, fatigue, sore throat, headache, red eyes, vomiting, loss of appetite, abdominal pain, chills, feverish",high fever irritability fatigue sore throat headache red eye vomiting loss appetite abdominal pain chill feverish,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, stomach cramps, headache, fatigue, dehydration, muscle aches, body aches, rashes",abdominal pain cramp diarrhea stomach cramp headache fatigue dehydration muscle ache body ache rash,9
Strep Throat,14,"sore throat, fever, swollen lymph nodes, rash, body aches, loss of appetite",sore throat fever swollen lymph node rash body ache loss appetite,6
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, irritability, sore throat, mouth sores, red spots, blisters, cough, headache, mild fever, difficulty swallowing",fever rash hand foot irritability sore throat mouth sore red spot blister cough headache mild fever difficulty swallowing,11
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, vomiting, stomach cramps, headache, dehydration, loss of appetite, muscle aches, feverish, chills",fever diarrhea nausea vomiting stomach cramp headache dehydration loss appetite muscle ache feverish chill,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, headache, fatigue, dehydration, muscle aches, feverish, rashes, general discomfort",abdominal pain cramp headache fatigue dehydration muscle ache feverish rash general discomfort,8
Mumps,7,"swollen painful salivary glands, fever, tiredness, loss of appetite, trouble chewing, testicle pain and tenderness, muscle aches",swollen painful salivary gland fever tiredness loss appetite trouble chewing testicle pain tenderness muscle ache,7
Shigellosis (Bacillary Dysentery),13,"fever, nausea, stomach cramps, loss of appetite, muscle aches, body aches, rashes, general discomfort, joint pain",fever nausea stomach cramp loss appetite muscle ache body ache rash general discomfort joint pain,9
Roseola,10,"runny nose, irritability, swollen lymph nodes, headache, vomiting, loss of appetite, abdominal pain, body aches, rashes",runny nose irritability swollen lymph node headache vomiting loss appetite abdominal pain body ache rash,9
Roseola,10,"runny nose, rash, irritability, fatigue, swollen lymph nodes, sore throat, headache, cough, red eyes, loss of appetite, rashes, chills, feverish",runny nose rash irritability fatigue swollen lymph node sore throat headache cough red eye loss appetite rash chill feverish,13
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, vomiting, bloody stools, fatigue, dehydration, body aches, general discomfort",abdominal pain cramp vomiting bloody stool fatigue dehydration body ache general discomfort,7
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, stomach cramps, headache, fatigue, dehydration, loss of appetite, muscle aches, body aches, chills",diarrhea nausea stomach cramp headache fatigue dehydration loss appetite muscle ache body ache chill,10
Norovirus Infection,8,"nausea, headache, abdominal pain, loss of appetite, chills, sweating, fever, irritability",nausea headache abdominal pain loss appetite chill sweating fever irritability,8
Shigellosis (Bacillary Dysentery),13,"vomiting, bloody stools, headache, fatigue, loss of appetite, muscle aches, feverish, general discomfort, chills",vomiting bloody stool headache fatigue loss appetite muscle ache feverish general discomfort chill,9
Roseola,10,"rash, fatigue, swollen lymph nodes, sore throat, headache, red eyes, loss of appetite, abdominal pain, rashes, chills",rash fatigue swollen lymph node sore throat headache red eye loss appetite abdominal pain rash chill,10
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, loss of appetite, dehydration, chills, sweating, fever",vomiting stomach cramp low-grade fever muscle ache loss appetite dehydration chill sweating fever,9
Norovirus Infection,8,"vomiting, stomach cramps, headache, fatigue, chills, sweating, body aches, rashes, general discomfort, fever",vomiting stomach cramp headache fatigue chill sweating body ache rash general discomfort fever,10
"Hand, Foot, and Mouth Disease",3,"sores in mouth, rash on hands and feet, loss of appetite, irritability, mouth sores, red spots, sore muscles, general discomfort, mild fever, difficulty swallowing",sore mouth rash hand foot loss appetite irritability mouth sore red spot sore muscle general discomfort mild fever difficulty swallowing,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, headache, fatigue, dehydration, loss of appetite, muscle aches, body aches, feverish, rashes",diarrhea nausea vomiting bloody stool headache fatigue dehydration loss appetite muscle ache body ache feverish rash,12
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, bloody stools, fatigue, dehydration, muscle aches, body aches, feverish, rashes, joint pain",abdominal pain cramp diarrhea vomiting bloody stool fatigue dehydration muscle ache body ache feverish rash joint pain,11
Roseola,10,"runny nose, irritability, swollen lymph nodes, sore throat, cough, red eyes, vomiting, loss of appetite, body aches, rashes, chills",runny nose irritability swollen lymph node sore throat cough red eye vomiting loss appetite body ache rash chill,11
Norovirus Infection,8,"vomiting, nausea, headache, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, rashes, general discomfort, fever, irritability",vomiting nausea headache abdominal pain loss appetite dehydration chill sweating body ache rash general discomfort fever irritability,13
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, stomach cramps, headache, dehydration, muscle aches, body aches, general discomfort, joint pain",abdominal pain cramp bloody stool stomach cramp headache dehydration muscle ache body ache general discomfort joint pain,9
Norovirus Infection,8,"low-grade fever, headache, fatigue, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, rashes, general discomfort",low-grade fever headache fatigue abdominal pain loss appetite dehydration chill sweating body ache rash general discomfort,11
"Hand, Foot, and Mouth Disease",3,"irritability, sore throat, red spots, blisters, cough, sore muscles, headache",irritability sore throat red spot blister cough sore muscle headache,7
Roseola,10,"runny nose, rash, irritability, fatigue, swollen lymph nodes, sore throat, headache, cough, red eyes, diarrhea, vomiting, rashes, chills, feverish",runny nose rash irritability fatigue swollen lymph node sore throat headache cough red eye diarrhea vomiting rash chill feverish,14
"Hand, Foot, and Mouth Disease",3,"sores in mouth, irritability, sore throat, blisters, fatigue, cough, sore muscles, mild fever, difficulty swallowing",sore mouth irritability sore throat blister fatigue cough sore muscle mild fever difficulty swallowing,9
"Hand, Foot, and Mouth Disease",3,"irritability, sore throat, fatigue, sore muscles, mild fever",irritability sore throat fatigue sore muscle mild fever,5
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, rashes, general discomfort, fever",diarrhea stomach cramp low-grade fever muscle ache nausea headache fatigue rash general discomfort fever,10
Pertussis (Whooping Cough),9,"sneezing, fever, cyanosis, exhaustion, low-grade fever, runny nose, severe coughing fits, vomiting after coughing, fatigue",sneezing fever cyanosis exhaustion low-grade fever runny nose severe coughing fit vomiting coughing fatigue,9
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, fatigue, abdominal pain, loss of appetite, dehydration, chills, general discomfort, fever, irritability",diarrhea stomach cramp muscle ache fatigue abdominal pain loss appetite dehydration chill general discomfort fever irritability,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, nausea, abdominal pain, dehydration, chills, body aches, irritability",diarrhea vomiting stomach cramp low-grade fever nausea abdominal pain dehydration chill body ache irritability,10
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, bloody stools, headache, muscle aches, body aches, rashes, general discomfort, chills, joint pain",fever diarrhea nausea bloody stool headache muscle ache body ache rash general discomfort chill joint pain,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, bloody stools, stomach cramps, muscle aches, body aches, rashes",abdominal pain cramp diarrhea nausea bloody stool stomach cramp muscle ache body ache rash,8
Roseola,10,"high fever, runny nose, swollen lymph nodes, headache, red eyes, vomiting, loss of appetite, abdominal pain",high fever runny nose swollen lymph node headache red eye vomiting loss appetite abdominal pain,8
Norovirus Infection,8,"diarrhea, loss of appetite, chills, body aches, rashes, general discomfort, irritability",diarrhea loss appetite chill body ache rash general discomfort irritability,7
Norovirus Infection,8,"stomach cramps, low-grade fever, muscle aches, fatigue, abdominal pain, dehydration, chills, sweating, body aches, rashes, fever, irritability",stomach cramp low-grade fever muscle ache fatigue abdominal pain dehydration chill sweating body ache rash fever irritability,12
Scarlet Fever,12,"swollen glands, fever, sore throat, strawberry tongue, sore and red throat with patches, difficulty swallowing, nausea or vomiting, headache and body aches",swollen gland fever sore throat strawberry tongue sore red throat patch difficulty swallowing nausea vomiting headache body ache,8
Roseola,10,"high fever, runny nose, rash, fatigue, swollen lymph nodes, headache, diarrhea, vomiting, body aches, chills",high fever runny nose rash fatigue swollen lymph node headache diarrhea vomiting body ache chill,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, fatigue, feverish, general discomfort, joint pain",abdominal pain cramp fatigue feverish general discomfort joint pain,5
Norovirus Infection,8,"diarrhea, stomach cramps, headache, fatigue, loss of appetite, dehydration, chills, body aches, rashes, general discomfort",diarrhea stomach cramp headache fatigue loss appetite dehydration chill body ache rash general discomfort,10
Roseola,10,"high fever, runny nose, sore throat, cough, red eyes, body aches, chills",high fever runny nose sore throat cough red eye body ache chill,7
Roseola,10,"runny nose, rash, fatigue, headache, cough, red eyes, abdominal pain, body aches, chills, feverish",runny nose rash fatigue headache cough red eye abdominal pain body ache chill feverish,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, vomiting, loss of appetite, body aches, feverish, general discomfort, chills, joint pain",fever abdominal pain cramp diarrhea vomiting loss appetite body ache feverish general discomfort chill joint pain,10
"Hand, Foot, and Mouth Disease",3,"sores in mouth, irritability, mouth sores, sore muscles, difficulty swallowing",sore mouth irritability mouth sore sore muscle difficulty swallowing,5
Roseola,10,"high fever, irritability, headache, cough, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, chills",high fever irritability headache cough diarrhea vomiting loss appetite abdominal pain body ache chill,10
Roseola,10,"high fever, runny nose, rash, fatigue, swollen lymph nodes, sore throat, headache, cough, diarrhea, loss of appetite, abdominal pain, body aches, rashes, chills, feverish",high fever runny nose rash fatigue swollen lymph node sore throat headache cough diarrhea loss appetite abdominal pain body ache rash chill feverish,15
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, stomach cramps, dehydration, loss of appetite, body aches, feverish, rashes, general discomfort",diarrhea nausea vomiting bloody stool stomach cramp dehydration loss appetite body ache feverish rash general discomfort,11
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, stomach cramps, fatigue, muscle aches, feverish, rashes, general discomfort",diarrhea nausea stomach cramp fatigue muscle ache feverish rash general discomfort,8
Roseola,10,"high fever, fatigue, swollen lymph nodes, cough, red eyes, diarrhea, vomiting, abdominal pain, rashes, chills, feverish",high fever fatigue swollen lymph node cough red eye diarrhea vomiting abdominal pain rash chill feverish,11
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, bloody stools, stomach cramps, fatigue, loss of appetite, muscle aches, feverish, rashes",diarrhea nausea bloody stool stomach cramp fatigue loss appetite muscle ache feverish rash,9
"Hand, Foot, and Mouth Disease",3,"loss of appetite, irritability, mouth sores, red spots, sore muscles, headache, general discomfort, mild fever",loss appetite irritability mouth sore red spot sore muscle headache general discomfort mild fever,8
Roseola,10,"high fever, runny nose, rash, fatigue, sore throat, vomiting, loss of appetite, chills, feverish",high fever runny nose rash fatigue sore throat vomiting loss appetite chill feverish,9
Roseola,10,"runny nose, swollen lymph nodes, headache, cough, diarrhea, body aches",runny nose swollen lymph node headache cough diarrhea body ache,6
Norovirus Infection,8,"abdominal pain, chills, rashes, fever",abdominal pain chill rash fever,4
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, bloody stools, headache, dehydration, joint pain",abdominal pain cramp nausea vomiting bloody stool headache dehydration joint pain,7
Shigellosis (Bacillary Dysentery),13,"fever, stomach cramps, headache, fatigue, muscle aches, feverish, chills, joint pain",fever stomach cramp headache fatigue muscle ache feverish chill joint pain,8
Norovirus Infection,8,"vomiting, stomach cramps, nausea, headache, fatigue, loss of appetite, dehydration, chills, body aches, general discomfort, fever, irritability",vomiting stomach cramp nausea headache fatigue loss appetite dehydration chill body ache general discomfort fever irritability,12
