drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
Aczone,aczone,Acne,acne,dapsone topical,Topical acne agents,aczone acne dapsone topical topical acne agents,aczone acne dapsone topical topical acne agent,"dry, peeling skin, oily skin, redness where the medicine was applied",4
benzoyl peroxide,benzoyl peroxide,Acne,acne,benzoyl peroxide topical,Topical acne agents,benzoyl peroxide acne benzoyl peroxide topical topical acne agents,benzoyl peroxide acne benzoyl peroxide topical topical acne agent,"itching, swelling",2
Differin,differin,Acne,acne,adapalene topical,Topical acne agents,differin acne adapalene topical topical acne agents,differin acne adapalene topical topical acne agent,"dry, red, scaly skin, feeling of warmth and mild stinging, burning, peeling skin, skin pain",7
Epiduo,epiduo,Acne,acne,adapalene and benzoyl peroxide (topical),Topical acne agents,epiduo acne adapalene and benzoyl peroxide (topical) topical acne agents,epiduo acne adapalene benzoyl peroxide topical acne agent,"dry, scaly skin, skin redness, burning, stinging",5
adapalene,adapalene,Acne,acne,adapalene topical,Topical acne agents,adapalene acne adapalene topical topical acne agents,adapalene acne adapalene topical topical acne agent,"itching, swelling, chest pain",3
cephalexin,cephalexin,Acne,acne,cephalexin,First generation cephalosporins,cephalexin acne cephalexin first generation cephalosporins,cephalexin acne cephalexin first generation cephalosporin,"diarrhea, nausea, vomiting, indigestion, stomach pain, vaginal itching, discharge",7
Doryx,doryx,Acne,acne,doxycycline (oral route),"Miscellaneous antimalarials, Tetracyclines","doryx acne doxycycline (oral route) miscellaneous antimalarials, tetracyclines",doryx acne doxycycline miscellaneous antimalarial tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
tetracycline,tetracycline,Acne,acne,tetracycline,Tetracyclines,tetracycline acne tetracycline tetracyclines,tetracycline acne tetracycline tetracycline,"nausea, vomiting, diarrhea, upset stomach, loss of appetite, white patches, sores inside your mouth, on your lips, swollen tongue, black, hairy tongue, trouble swallowing, sores, swelling in your rectal, genital area, vaginal itching, discharge",17
Septra,septra,Acne,acne,sulfamethoxazole and trimethoprim (oral),Sulfonamides,septra acne sulfamethoxazole and trimethoprim (oral) sulfonamides,septra acne sulfamethoxazole trimethoprim sulfonamide,"nausea, vomiting, loss of appetite, skin rash",4
Solodyn,solodyn,Acne,acne,minocycline,Tetracyclines,solodyn acne minocycline tetracyclines,solodyn acne minocycline tetracycline,"numbness, tingling, burning pain, hair loss, discoloration of you skin, nails",6
Tazorac,tazorac,Acne,acne,tazarotene topical,"Topical acne agents, Topical antipsoriatics","tazorac acne tazarotene topical topical acne agents, topical antipsoriatics",tazorac acne tazarotene topical topical acne agent topical antipsoriatics,"dry, scaly, peeling skin, skin pain, redness, burning, itching, other irritation of treated skin",8
Vibramycin,vibramycin,Acne,acne,doxycycline (oral route),"Miscellaneous antimalarials, Tetracyclines","vibramycin acne doxycycline (oral route) miscellaneous antimalarials, tetracyclines",vibramycin acne doxycycline miscellaneous antimalarial tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
Acticlate,acticlate,Acne,acne,Doxycycline Tablets and Capsules,Tetracyclines,acticlate acne doxycycline tablets and capsules tetracyclines,acticlate acne doxycycline tablet capsule tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
benzoyl peroxide / clindamycin,benzoyl peroxide / clindamycin,Acne,acne,benzoyl peroxide and clindamycin topical,Topical acne agents,benzoyl peroxide / clindamycin acne benzoyl peroxide and clindamycin topical topical acne agents,benzoyl peroxide clindamycin acne benzoyl peroxide clindamycin topical topical acne agent,"diarrhea, itching, swelling",3
Doxy 100,doxy 100,Acne,acne,Doxycycline Injection,"Miscellaneous antimalarials, Tetracyclines","doxy 100 acne doxycycline injection miscellaneous antimalarials, tetracyclines",doxy 100 acne doxycycline injection miscellaneous antimalarial tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Keflex,keflex,Acne,acne,cephalexin,First generation cephalosporins,keflex acne cephalexin first generation cephalosporins,keflex acne cephalexin first generation cephalosporin,"diarrhea, nausea, vomiting, indigestion, stomach pain, vaginal itching, discharge",7
sulfamethoxazole / trimethoprim,sulfamethoxazole / trimethoprim,Acne,acne,sulfamethoxazole and trimethoprim (oral/injection),Sulfonamides,sulfamethoxazole / trimethoprim acne sulfamethoxazole and trimethoprim (oral/injection) sulfonamides,sulfamethoxazole trimethoprim acne sulfamethoxazole trimethoprim sulfonamide,"nausea, vomiting, diarrhea, headache, rash, dry mouth, fever, cough, stomach pain, joint pain, swelling, bleeding, bruising, skin rash, chest pain, confusion",16
Benzaclin,benzaclin,Acne,acne,benzoyl peroxide and clindamycin topical,Topical acne agents,benzaclin acne benzoyl peroxide and clindamycin topical topical acne agents,benzaclin acne benzoyl peroxide clindamycin topical topical acne agent,"diarrhea, itching, swelling",3
Monodox,monodox,Acne,acne,doxycycline (oral route),"Miscellaneous antimalarials, Tetracyclines","monodox acne doxycycline (oral route) miscellaneous antimalarials, tetracyclines",monodox acne doxycycline miscellaneous antimalarial tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
Targadox,targadox,Acne,acne,Doxycycline Tablets and Capsules,,targadox acne doxycycline tablets and capsules,targadox acne doxycycline tablet capsule,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Adoxa,adoxa,Acne,acne,Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","adoxa acne doxycycline tablets and capsules miscellaneous antimalarials, tetracyclines",adoxa acne doxycycline tablet capsule miscellaneous antimalarial tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Adoxa CK,adoxa ck,Acne,acne,doxycycline (oral route),"Miscellaneous antimalarials, Tetracyclines","adoxa ck acne doxycycline (oral route) miscellaneous antimalarials, tetracyclines",adoxa ck acne doxycycline miscellaneous antimalarial tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
Adoxa Pak,adoxa pak,Acne,acne,doxycycline (oral route),,adoxa pak acne doxycycline (oral route),adoxa pak acne doxycycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
Adoxa TT,adoxa tt,Acne,acne,doxycycline (oral route),"Miscellaneous antimalarials, Tetracyclines","adoxa tt acne doxycycline (oral route) miscellaneous antimalarials, tetracyclines",adoxa tt acne doxycycline miscellaneous antimalarial tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
Avidoxy,avidoxy,Acne,acne,Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","avidoxy acne doxycycline tablets and capsules miscellaneous antimalarials, tetracyclines",avidoxy acne doxycycline tablet capsule miscellaneous antimalarial tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Bactrim DS,bactrim ds,Acne,acne,sulfamethoxazole and trimethoprim (oral route),Sulfonamides,bactrim ds acne sulfamethoxazole and trimethoprim (oral route) sulfonamides,bactrim d acne sulfamethoxazole trimethoprim sulfonamide,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight gain, weight loss, fever, cough, stomach pain, muscle pain, joint pain, swelling, bleeding, bruising, hair loss, skin rash, chest pain, confusion",22
Cleocin T,cleocin t,Acne,acne,clindamycin topical,Topical acne agents,cleocin t acne clindamycin topical topical acne agents,cleocin acne clindamycin topical topical acne agent,"diarrhea, itching, stomach pain, swelling",4
Clindagel,clindagel,Acne,acne,clindamycin topical,Topical acne agents,clindagel acne clindamycin topical topical acne agents,clindagel acne clindamycin topical topical acne agent,"burning, itching, dryness, peeling, redness of treated skin, oily skin",6
Doryx MPC,doryx mpc,Acne,acne,doxycycline (oral route),,doryx mpc acne doxycycline (oral route),doryx mpc acne doxycycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight loss, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, blurred vision",19
erythromycin,erythromycin,Acne,acne,erythromycin topical,"Topical acne agents, Topical antibiotics","erythromycin acne erythromycin topical topical acne agents, topical antibiotics",erythromycin acne erythromycin topical topical acne agent topical antibiotic,"diarrhea, itching, stomach pain, swelling",4
Morgidox,morgidox,Acne,acne,Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","morgidox acne doxycycline tablets and capsules miscellaneous antimalarials, tetracyclines",morgidox acne doxycycline tablet capsule miscellaneous antimalarial tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Oraxyl,oraxyl,Acne,acne,Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","oraxyl acne doxycycline tablets and capsules miscellaneous antimalarials, tetracyclines",oraxyl acne doxycycline tablet capsule miscellaneous antimalarial tetracycline,"diarrhea, headache, dizziness, rash, itching, fever, stomach pain, joint pain, swelling, bleeding, bruising, chest pain, back pain",13
Claravis,claravis,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","claravis acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",claravis acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
Clinda-Derm,clinda-derm,Acne,acne,clindamycin (topical route),Topical acne agents,clinda-derm acne clindamycin (topical route) topical acne agents,clinda-derm acne clindamycin topical acne agent,"nausea, vomiting, diarrhea, headache, rash, itching, weight loss, fever, swelling, skin rash",10
Evoclin,evoclin,Acne,acne,clindamycin topical,Topical acne agents,evoclin acne clindamycin topical topical acne agents,evoclin acne clindamycin topical topical acne agent,"burning, itching, dryness, peeling, redness of treated skin, oily skin",6
Minocin,minocin,Acne,acne,minocycline (oral route),Tetracyclines,minocin acne minocycline (oral route) tetracyclines,minocin acne minocycline tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, confusion",16
Yaz,yaz,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,yaz acne drospirenone and ethinyl estradiol contraceptives,yaz acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, breast tenderness, headache, mood changes, feeling tired, irritable, weight gain, skin darkening, pigmentation changes, changes in your menstrual periods, decreased sex drive",12
adapalene / benzoyl peroxide,adapalene / benzoyl peroxide,Acne,acne,adapalene and benzoyl peroxide (topical),Topical acne agents,adapalene / benzoyl peroxide acne adapalene and benzoyl peroxide (topical) topical acne agents,adapalene benzoyl peroxide acne adapalene benzoyl peroxide topical acne agent,"itching, swelling",2
Clindacin ETZ,clindacin etz,Acne,acne,clindamycin topical,Topical acne agents,clindacin etz acne clindamycin topical topical acne agents,clindacin etz acne clindamycin topical topical acne agent,"diarrhea, itching, stomach pain, swelling",4
Clindacin P,clindacin p,Acne,acne,clindamycin topical,"Topical acne agents, Vaginal anti-infectives","clindacin p acne clindamycin topical topical acne agents, vaginal anti-infectives",clindacin acne clindamycin topical topical acne agent vaginal anti-infectives,"diarrhea, itching, stomach pain, swelling",4
Clindacin PAC,clindacin pac,Acne,acne,clindamycin (topical route),"Topical acne agents, Vaginal anti-infectives","clindacin pac acne clindamycin (topical route) topical acne agents, vaginal anti-infectives",clindacin pac acne clindamycin topical acne agent vaginal anti-infectives,"nausea, vomiting, diarrhea, headache, rash, itching, weight loss, fever, swelling, skin rash",10
ClindaReach Pledget,clindareach pledget,Acne,acne,clindamycin (topical route),Topical acne agents,clindareach pledget acne clindamycin (topical route) topical acne agents,clindareach pledget acne clindamycin topical acne agent,"nausea, vomiting, diarrhea, headache, rash, itching, weight loss, fever, swelling, skin rash",10
Clindets,clindets,Acne,acne,clindamycin (topical route),Topical acne agents,clindets acne clindamycin (topical route) topical acne agents,clindets acne clindamycin topical acne agent,"nausea, vomiting, diarrhea, headache, rash, itching, weight loss, fever, swelling, skin rash",10
Milk of Magnesia,milk of magnesia,Acne,acne,magnesium hydroxide,"Antacids, Laxatives","milk of magnesia acne magnesium hydroxide antacids, laxatives",milk magnesia acne magnesium hydroxide antacid laxative,"nausea, vomiting, diarrhea, swelling, bleeding",5
Septra DS,septra ds,Acne,acne,sulfamethoxazole and trimethoprim (oral route),Sulfonamides,septra ds acne sulfamethoxazole and trimethoprim (oral route) sulfonamides,septra d acne sulfamethoxazole trimethoprim sulfonamide,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, weight gain, weight loss, fever, cough, stomach pain, muscle pain, joint pain, swelling, bleeding, bruising, hair loss, skin rash, chest pain, confusion",22
Yasmin,yasmin,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,yasmin acne drospirenone and ethinyl estradiol contraceptives,yasmin acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, breast tenderness, headache, mood changes, feeling tired, irritable, weight gain, changes in your menstrual periods, decreased sex drive",10
Ziana,ziana,Acne,acne,clindamycin and tretinoin (topical),Topical acne agents,ziana acne clindamycin and tretinoin (topical) topical acne agents,ziana acne clindamycin tretinoin topical acne agent,"mild skin irritation, dryness, peeling, mild skin redness, itching of treated skin",5
Absorica,absorica,Acne,acne,isotretinoin (oral),Miscellaneous uncategorized agents,absorica acne isotretinoin (oral) miscellaneous uncategorized agents,absorica acne isotretinoin miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
Acanya,acanya,Acne,acne,benzoyl peroxide and clindamycin topical,Topical acne agents,acanya acne benzoyl peroxide and clindamycin topical topical acne agents,acanya acne benzoyl peroxide clindamycin topical topical acne agent,"diarrhea, itching, swelling",3
Amnesteem,amnesteem,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","amnesteem acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",amnesteem acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
azelaic acid,azelaic acid,Acne,acne,azelaic acid topical,"Topical acne agents, Topical anti-rosacea agents","azelaic acid acne azelaic acid topical topical acne agents, topical anti-rosacea agents",azelaic acid acne azelaic acid topical topical acne agent topical anti-rosacea agent,"itching, swelling",2
dapsone,dapsone,Acne,acne,dapsone topical,Topical acne agents,dapsone acne dapsone topical topical acne agents,dapsone acne dapsone topical topical acne agent,"nausea, vomiting, rash, fever, swelling, skin rash, back pain, confusion",8
Duac,duac,Acne,acne,benzoyl peroxide and clindamycin topical,Topical acne agents,duac acne benzoyl peroxide and clindamycin topical topical acne agents,duac acne benzoyl peroxide clindamycin topical topical acne agent,"mild burning, stinging, itching, tingly feeling, dryness, peeling of treated skin, redness, other irritation",8
Emcin Clear,emcin clear,Acne,acne,erythromycin topical,"Topical acne agents, Topical antibiotics","emcin clear acne erythromycin topical topical acne agents, topical antibiotics",emcin clear acne erythromycin topical topical acne agent topical antibiotic,"diarrhea, itching, stomach pain, swelling",4
Epiduo Forte,epiduo forte,Acne,acne,adapalene and benzoyl peroxide (topical),Topical acne agents,epiduo forte acne adapalene and benzoyl peroxide (topical) topical acne agents,epiduo forte acne adapalene benzoyl peroxide topical acne agent,"itching, swelling",2
Erygel,erygel,Acne,acne,erythromycin topical,"Topical acne agents, Topical antibiotics","erygel acne erythromycin topical topical acne agents, topical antibiotics",erygel acne erythromycin topical topical acne agent topical antibiotic,"skin itching, redness, burning, peeling, dry, oily skin",6
Myorisan,myorisan,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","myorisan acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",myorisan acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
Onexton,onexton,Acne,acne,benzoyl peroxide and clindamycin topical,Topical acne agents,onexton acne benzoyl peroxide and clindamycin topical topical acne agents,onexton acne benzoyl peroxide clindamycin topical topical acne agent,"mild burning, stinging, itching, tingly feeling, dryness, peeling of treated skin, redness, other irritation",8
Phillips' Milk of Magnesia,phillips' milk of magnesia,Acne,acne,magnesium hydroxide,"Antacids, Laxatives","phillips' milk of magnesia acne magnesium hydroxide antacids, laxatives",phillips milk magnesia acne magnesium hydroxide antacid laxative,"nausea, vomiting, diarrhea, swelling, bleeding",5
salicylic acid,salicylic acid,Acne,acne,salicylic acid topical,"Topical acne agents, Topical keratolytics","salicylic acid acne salicylic acid topical topical acne agents, topical keratolytics",salicylic acid acne salicylic acid topical topical acne agent topical keratolytics,"vomiting, diarrhea, headache, rash, itching, stomach pain, swelling",7
Theramycin Z,theramycin z,Acne,acne,erythromycin topical,"Topical acne agents, Topical antibiotics","theramycin z acne erythromycin topical topical acne agents, topical antibiotics",theramycin acne erythromycin topical topical acne agent topical antibiotic,"diarrhea, itching, stomach pain, swelling",4
Absorica LD,absorica ld,Acne,acne,ISOtretinoin (systemic),Miscellaneous uncategorized agents,absorica ld acne isotretinoin (systemic) miscellaneous uncategorized agents,absorica ld acne isotretinoin miscellaneous uncategorized agent,"rash, itching, fever, stomach pain, muscle pain, swelling, bleeding, bruising, chest pain, back pain, anxiety, depression, confusion",13
Acne Treatment,acne treatment,Acne,acne,Benzoyl Peroxide Cream,Topical acne agents,acne treatment acne benzoyl peroxide cream topical acne agents,acne treatment acne benzoyl peroxide cream topical acne agent,"rash, itching, fever, swelling",4
Acnex,acnex,Acne,acne,salicylic acid (topical route),"Topical acne agents, Topical keratolytics","acnex acne salicylic acid (topical route) topical acne agents, topical keratolytics",acnex acne salicylic acid topical acne agent topical keratolytics,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, stomach pain, swelling, confusion",10
Ala-Tet,ala-tet,Acne,acne,tetracycline,Tetracyclines,ala-tet acne tetracycline tetracyclines,ala-tet acne tetracycline tetracycline,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Amzeeq,amzeeq,Acne,acne,minocycline topical,,amzeeq acne minocycline topical,amzeeq acne minocycline topical,"diarrhea, headache",2
Atralin,atralin,Acne,acne,tretinoin topical,Topical acne agents,atralin acne tretinoin topical topical acne agents,atralin acne tretinoin topical topical acne agent,"mild warmth, stinging where the medicine was applied, changes in color of treated skin",3
Avita,avita,Acne,acne,tretinoin topical,Topical acne agents,avita acne tretinoin topical topical acne agents,avita acne tretinoin topical topical acne agent,"skin pain, redness, burning, itching, irritation, sore throat, mild warmth, stinging where the medicine was applied, changes in color of treated skin",9
Azelex,azelex,Acne,acne,azelaic acid topical,"Topical acne agents, Topical anti-rosacea agents","azelex acne azelaic acid topical topical acne agents, topical anti-rosacea agents",azelex acne azelaic acid topical topical acne agent topical anti-rosacea agent,"pain, burning, stinging, tingling, dry, scaly skin, o itching, other irritation",8
Benzamycin,benzamycin,Acne,acne,benzoyl peroxide and erythromycin topical,Topical acne agents,benzamycin acne benzoyl peroxide and erythromycin topical topical acne agents,benzamycin acne benzoyl peroxide erythromycin topical topical acne agent,"mild burning, stinging, itching, tingly feeling, dryness, peeling of treated skin, redness, other irritation",8
benzoyl peroxide / erythromycin,benzoyl peroxide / erythromycin,Acne,acne,benzoyl peroxide and erythromycin topical,Topical acne agents,benzoyl peroxide / erythromycin acne benzoyl peroxide and erythromycin topical topical acne agents,benzoyl peroxide erythromycin acne benzoyl peroxide erythromycin topical topical acne agent,"diarrhea, itching, swelling",3
benzoyl peroxide / sulfur,benzoyl peroxide / sulfur,Acne,acne,Benzoyl Peroxide/Sulfur Gel,Topical acne agents,benzoyl peroxide / sulfur acne benzoyl peroxide/sulfur gel topical acne agents,benzoyl peroxide sulfur acne benzoyl peroxidesulfur gel topical acne agent,"rash, itching, fever, swelling",4
Beyaz,beyaz,Acne,acne,"drospirenone, ethinyl estradiol, and levomefolate",Contraceptives,"beyaz acne drospirenone, ethinyl estradiol, and levomefolate contraceptives",beyaz acne drospirenone ethinyl estradiol levomefolate contraceptive,"nausea, breast tenderness, headache, breakthrough bleeding",4
Brodspec,brodspec,Acne,acne,tetracycline,Tetracyclines,brodspec acne tetracycline tetracyclines,brodspec acne tetracycline tetracycline,"nausea, vomiting, diarrhea, upset stomach, loss of appetite, white patches, sores inside your mouth, on your lips, swollen tongue, black, hairy tongue, trouble swallowing, sores, swelling in your rectal, genital area, vaginal itching, discharge",17
Cleeravue-M,cleeravue-m,Acne,acne,minocycline (topical application route),,cleeravue-m acne minocycline (topical application route),cleeravue-m acne minocycline,"vomiting, diarrhea, headache, dizziness, rash, itching, fever, muscle pain, skin rash, blurred vision",10
clindamycin / tretinoin,clindamycin / tretinoin,Acne,acne,clindamycin and tretinoin (topical),Topical acne agents,clindamycin / tretinoin acne clindamycin and tretinoin (topical) topical acne agents,clindamycin tretinoin acne clindamycin tretinoin topical acne agent,"diarrhea, itching, swelling",3
drospirenone / ethinyl estradiol,drospirenone / ethinyl estradiol,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,drospirenone / ethinyl estradiol acne drospirenone and ethinyl estradiol contraceptives,drospirenone ethinyl estradiol acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, headache, weight gain, cough, stomach pain, swelling, chest pain, depression, blurred vision",10
Dynacin,dynacin,Acne,acne,minocycline (oral route),Tetracyclines,dynacin acne minocycline (oral route) tetracyclines,dynacin acne minocycline tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, confusion",16
Estarylla,estarylla,Acne,acne,ethinyl estradiol and norgestimate,Contraceptives,estarylla acne ethinyl estradiol and norgestimate contraceptives,estarylla acne ethinyl estradiol norgestimate contraceptive,"stomach pain, gas, nausea, vomiting, breast tenderness, acne, darkening of facial skin, headache, nervousness, mood changes, problems with contact lenses, changes in weight, breakthrough bleeding, vaginal itching, discharge, rash",16
ethinyl estradiol / norgestimate,ethinyl estradiol / norgestimate,Acne,acne,ethinyl estradiol and norgestimate,Contraceptives,ethinyl estradiol / norgestimate acne ethinyl estradiol and norgestimate contraceptives,ethinyl estradiol norgestimate acne ethinyl estradiol norgestimate contraceptive,"nausea, vomiting, headache, rash, itching, fever, cough, stomach pain, swelling, bleeding, chest pain, depression",12
Gianvi,gianvi,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,gianvi acne drospirenone and ethinyl estradiol contraceptives,gianvi acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, breast tenderness, headache, mood changes, feeling tired, irritable, weight gain, changes in your menstrual periods, decreased sex drive",10
Loryna,loryna,Acne,acne,drospirenone and ethinyl estradiol,Contraceptives,loryna acne drospirenone and ethinyl estradiol contraceptives,loryna acne drospirenone ethinyl estradiol contraceptive,"nausea, vomiting, breast tenderness, headache, mood changes, feeling tired, irritable, weight gain, changes in your menstrual periods, decreased sex drive",10
magnesium hydroxide,magnesium hydroxide,Acne,acne,magnesium hydroxide,"Antacids, Laxatives","magnesium hydroxide acne magnesium hydroxide antacids, laxatives",magnesium hydroxide acne magnesium hydroxide antacid laxative,"nausea, vomiting, diarrhea, swelling, bleeding",5
Minolira,minolira,Acne,acne,minocycline (oral route),Tetracyclines,minolira acne minocycline (oral route) tetracyclines,minolira acne minocycline tetracycline,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, stomach pain, muscle pain, swelling, bleeding, bruising, skin rash, chest pain, confusion",16
